_step,losses/positive_sim_mean,losses/negative_sim_mean,losses/positive_sim_std,losses/negative_sim_std,losses/num_pairs,losses/delta_mean,losses/contrastive_loss,overview/reward,similarity_gap
3682800.0,18.866758808493614,18.390285477042198,0.502590911462903,0.6563582073431462,64,31.7899169921875,0.0024715752188058104,3.1948089599609375e-05,0.476473331451416
7365600.0,7.613891065120697,6.9204378463327885,0.3512712998781353,0.5662475230637938,64,30.2965087890625,0.0019077719134656945,7.62939453125e-05,0.6934532187879086
11048400.0,6.1780230067670345,5.169103501364589,0.38128739676903933,0.7396297694649547,64,30.7734375,0.001609490975170047,7.343292236328125e-05,1.0089195054024458
14731200.0,7.145199883729219,5.241533420979977,0.4024039551150054,1.2905116090551019,64,31.0731201171875,0.0011634253255579097,5.817413330078125e-05,1.9036664627492428
18414000.0,6.392934154719114,3.8942720210179687,0.48905810923315585,1.6945194331929088,64,30.50634765625,0.0009331417491011962,8.487701416015625e-05,2.4986621337011456
22096800.0,6.852155305445194,3.8707836885005236,0.4929006181191653,1.89070376008749,64,31.263427734375,0.000731673373365993,0.0001468658447265625,2.9813716169446707
25779600.0,9.272748470306396,5.286201406270266,0.5227452728431672,2.3599654296413064,64,30.7738037109375,0.0004305398226733814,0.0002536773681640625,3.986547064036131
29462400.0,10.76097472012043,6.2233213149011135,0.5758571759797633,2.4800344239920378,64,30.9075927734375,0.00021888097302280585,0.00039005279541015625,4.5376534052193165
33145200.0,9.876965686678886,5.162839513272047,0.510513718239963,2.4171290267258883,64,30.775390625,0.00015279388986755293,0.0007181167602539062,4.714126173406839
36828000.0,9.372617579996586,4.1989774610847235,0.511888018110767,2.501175267621875,64,30.8048095703125,0.00013587956752303398,0.00084686279296875,5.173640118911862
40510800.0,9.563443072140217,4.233470356091857,0.5096755211707205,2.5321680027991533,64,30.8968505859375,0.00012899075176164843,0.0005903244018554688,5.32997271604836
44193600.0,10.37224117666483,4.774133503437042,0.5360196391120553,2.6823523696511984,64,30.86474609375,0.00010050969581243407,0.0003943443298339844,5.598107673227787
47876400.0,10.199166610836983,4.312211267650127,0.5618505186866969,2.9123921617865562,64,29.96923828125,9.358334406783797e-05,0.0003113746643066406,5.886955343186855
51559200.0,10.081580504775047,4.82095224969089,0.5060162483714521,2.5797263188287616,64,31.2486572265625,9.92997068465229e-05,0.0002779960632324219,5.260628255084157
55242000.0,10.706192396581173,4.978068049997091,0.5379997494164854,2.738984040915966,64,30.595947265625,7.842160817972399e-05,0.0002884864807128906,5.728124346584082
58924800.0,10.579840295016766,5.00103197991848,0.5023051893804222,2.6796665750443935,64,30.72998046875,7.215788366465858e-05,0.0002932548522949219,5.578808315098286
62607600.0,10.97991356998682,4.9417840372771025,0.5289708396885544,2.9047626685351133,64,30.8463134765625,6.990103584314511e-05,0.0003209114074707031,6.038129532709718
66290400.0,10.626371875405312,5.153763473033905,0.4740682940464467,2.5994401443749666,64,30.826904296875,6.864153355934377e-05,0.00034618377685546875,5.4726084023714066
69973200.0,10.609123282134533,5.0749790370464325,0.47530446178279817,2.6351651567965746,64,30.4404296875,6.989241948218705e-05,0.00036525726318359375,5.5341442450881
73656000.0,10.486229583621025,4.777175115421414,0.4810028108768165,2.722754480317235,64,30.699462890625,6.930695312235002e-05,0.000400543212890625,5.709054468199611
77338800.0,10.262230604887009,4.537918386980891,0.49712091870605946,2.729310652241111,64,30.8912353515625,7.037720917679735e-05,0.0004000663757324219,5.724312217906117
81021600.0,10.351506382226944,4.480363562703133,0.4673397212754935,2.7697845231741667,64,30.755615234375,6.43021234338903e-05,0.0003895759582519531,5.871142819523811
84704400.0,10.042373225092888,4.349259007722139,0.5090367808006704,2.6557196602225304,64,30.4522705078125,6.637386292140945e-05,0.0003876686096191406,5.6931142173707485
88387200.0,9.505063861608505,3.87350794672966,0.5132561470381916,2.647423440590501,64,30.8089599609375,6.421910057952118e-05,0.0003972053527832031,5.631555914878845
92070000.0,9.69342341274023,3.8016353882849216,0.5198803669773042,2.7879150435328484,64,30.72705078125,5.949322331844087e-05,0.00041103363037109375,5.891788024455309
95752800.0,9.925845243036747,4.1903097201138735,0.5066675185225904,2.6832037661224604,64,30.73193359375,5.749606122407158e-05,0.00039386749267578125,5.7355355229228735
99435600.0,9.595049813389778,4.144330864772201,0.5231491068843752,2.516674216836691,64,30.817626953125,6.042652843518681e-05,0.0003829002380371094,5.4507189486175776
103118400.0,9.250810772180557,3.911078592762351,0.48627783032134175,2.4936666265130043,64,30.123046875,6.234430065177321e-05,0.00038909912109375,5.339732179418206
