_step,losses/positive_sim_mean,losses/negative_sim_mean,losses/positive_sim_std,losses/negative_sim_std,losses/num_pairs,losses/delta_mean,losses/contrastive_loss,overview/reward,similarity_gap
3682800.0,30.20140029489994,29.198154106736183,1.2450573737733066,1.9068779547233135,64,30.245849609375,0.002560928336606594,3.910064697265625e-05,1.0032461881637573
7365600.0,12.550986237823963,11.532377146184444,0.9207854988053441,0.9922858357895166,64,30.344970703125,0.0022646256675216137,0.00010251998901367188,1.0186090916395187
11048400.0,11.501700088381767,9.83991253376007,0.9550292077474296,1.4478667518123984,64,30.586181640625,0.0020501239978329977,0.000110626220703125,1.6617875546216965
14731200.0,11.299823671579361,9.290262121707201,0.9394877199083567,1.6747345523908734,64,30.648681640625,0.001930150107909867,0.00013208389282226562,2.00956154987216
18414000.0,9.666871272027493,6.980644106864929,0.8813465964049101,2.045746136456728,64,30.646240234375,0.0016867014792296686,0.00022649765014648438,2.6862271651625633
22096800.0,16.712811775505543,10.578999746590853,1.1947384546510875,4.337204514071345,64,31.1429443359375,0.001081932327906543,0.0002837181091308594,6.13381202891469
25779600.0,20.848304346203804,11.902305319905281,1.200872431974858,5.549475247040391,64,30.999755859375,0.00056996076705218,0.0004076957702636719,8.945999026298523
29462400.0,21.4387336820364,11.399679809808731,1.1364732133224607,5.715199716389179,64,30.8016357421875,0.0003367349704603839,0.0004639625549316406,10.039053872227669
33145200.0,21.83091177046299,10.660867847502232,1.1665282985195518,5.807677984237671,64,31.192138671875,0.0002623398855803316,0.0005817413330078125,11.170043922960758
36828000.0,22.443349823355675,9.494440026581287,1.357544157654047,6.276667542755604,64,30.672119140625,0.00022175296805926337,0.0007805824279785156,12.948909796774387
40510800.0,23.486877381801605,10.035216502845287,1.3509525428526103,6.643428545445204,64,31.0113525390625,0.00017541726444392225,0.0005297660827636719,13.451660878956318
44193600.0,24.261427208781242,10.946604706346989,1.2955061011016369,6.504066027700901,64,31.65087890625,0.0001459935583625338,0.0003714561462402344,13.314822502434254
47876400.0,25.01122573018074,11.182131461799145,1.3440980087034404,6.8354826755821705,64,30.8724365234375,0.0001317541595824423,0.00029850006103515625,13.829094268381596
51559200.0,25.404427230358124,10.983392789959908,1.4156966204755008,6.885060016065836,64,30.31396484375,0.00010558523095482997,0.00028133392333984375,14.421034440398216
55242000.0,24.7993331104517,10.540044538676739,1.3387531535699964,6.87298671901226,64,30.3692626953125,0.00010310754964848456,0.00029087066650390625,14.25928857177496
58924800.0,24.178618535399437,10.165768083184958,1.3985427557490766,6.656979475170374,64,30.328125,0.00010177435626701481,0.0002841949462890625,14.01285045221448
62607600.0,24.1753651201725,10.786550156772137,1.424144558608532,6.153447661548853,64,30.6793212890625,9.427359287883519e-05,0.0002808570861816406,13.388814963400364
66290400.0,24.00780040025711,10.614515207707882,1.3127688793465495,6.13911059871316,64,30.5706787109375,8.153341650540824e-05,0.00027561187744140625,13.393285192549229
69973200.0,23.801166266202927,10.863312423229218,1.3133020210079849,5.9668862745165825,64,30.915283203125,8.042602917157637e-05,0.0002732276916503906,12.937853842973709
73656000.0,24.116917490959167,10.558511734008789,1.3707233774475753,6.118651024997234,64,30.5577392578125,7.274281431079999e-05,0.0002651214599609375,13.558405756950378
77338800.0,24.564525425434113,10.793660171329975,1.2988103916868567,6.134054992347956,64,30.80029296875,6.968809782392782e-05,0.0002923011779785156,13.770865254104137
81021600.0,23.772618278861046,10.61059632152319,1.2232567900791764,5.824434403330088,64,31.4979248046875,7.625235139130382e-05,0.0003056526184082031,13.162021957337856
84704400.0,23.94594657421112,11.17429120093584,1.167334761004895,5.665921166539192,64,31.2479248046875,7.456233009861535e-05,0.000335693359375,12.77165537327528
88387200.0,23.986627638339996,10.069253399968147,1.1982198748737574,6.140096630901098,64,30.7808837890625,6.023396724685881e-05,0.000331878662109375,13.917374238371849
92070000.0,24.293575048446655,10.281130500137806,1.2577322372235358,6.243403099477291,64,30.9873046875,6.638963656513397e-05,0.0003533363342285156,14.01244454830885
95752800.0,22.97709186375141,9.560053329914808,1.3428070852532983,5.823841784149408,64,31.0185546875,7.844087782871156e-05,0.000339508056640625,13.417038533836603
99435600.0,23.467872455716133,9.999090120196342,1.3002313636243343,5.7931471057236195,64,30.9071044921875,6.960372786579683e-05,0.0003533363342285156,13.46878233551979
103118400.0,23.117367818951607,9.370202984660864,1.374188655987382,6.008116543292999,64,31.1837158203125,7.488263444344057e-05,0.0003666877746582031,13.747164834290743
